PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
555	su	Skylight	ay	Bloo	1
721	su	Skylight	ay	Bloo	1
938	ko	Mastah_CJ	su	Slimjim8345	1
1053	ko	Mastah_CJ	su	Slimjim8345	1
1327	ay	Akuadynasty	so	Primity	2
1495	ay	Akuadynasty	so	Primity	2
1809	co	AaronCube	co	Lucy	1
1938	co	AaronCube	co	Lucy	2
2148	co	AaronCube	co	Lucy	2
2448	su	Skylight	ol	Mikkokoro	1
2552	su	Skylight	ol	Mikkokoro	2
2642	su	Skylight	ol	Mikkokoro	1
2872	ko	Mastah_CJ	pe	wazim	2
3006	ko	Mastah_CJ	pe	wazim	1
3175	ko	Mastah_CJ	pe	wazim	2
3523	so	Primity	su	Skylight	2
3707	so	Primity	su	Skylight	2
4356	pe	wazim	co	Lucy	1
4485	pe	wazim	co	Lucy	2
4775	ko	Mastah_CJ	ak	AaronCube	1
4907	ko	Mastah_CJ	pe	AaronCube	1
5143	ay	Akuadynasty	ak	Mikkokoro	2
5371	ak	Mikkokoro	ay	Akuadynasty	1
5591	ko	Mastah_CJ	so	Primity	2
5733	ko	Mastah_CJ	so	Primity	1
5911	ko	Mastah_CJ	so	Primity	2
6223	ak	Mikkokoro	pe	wazim	2
6560	pe	wazim	ol	Mikkokoro	2
6903	pe	wazim	ol	Mikkokoro	2
7431	so	Primity	ol	Mikkokoro	2
7552	so	Primity	ol	Mikkokoro	2
7797	co	Lucy	su	Skylight	2
7993	co	Lucy	su	Skylight	2
8122	co	Lucy	su	Skylight	1
8251	co	Lucy	su	Skylight	1
8379	co	Lucy	su	Skylight	1
8711	su	Skylight	ak	Mikkokoro	2
8826	su	Skylight	ak	Mikkokoro	1
8959	su	Skylight	ol	Mikkokoro	1
9062	su	Skylight	ko	Mikkokoro	1
9365	co	Lucy	su	Skylight	1
9547	co	Lucy	su	Skylight	2
9659	co	Lucy	su	Skylight	1
9782	co	Lucy	su	Skylight	1

7OYixeNhFTs	2023-06-30	N	Series|NA|Idol Throwdown|v. 1.3	
1196	ay	Akuadynasty	ay	Razaku	2
1379	ay	Akuadynasty	ay	Razaku	2
1888	fu	Violingolfer	ay	Bloo	2
2051	fu	Violingolfer	ay	Bloo	1
2221	fu	Violingolfer	ay	Bloo	2
2623	so	Mastah_CJ	ko	Mastrcheap	1
2824	so	Mastah_CJ	ko	Mastrcheap	1
3261	fu	Megadosage	fu	Gigadrill	1
3390	fu	Megadosage	fu	Gigadrill	2
3628	fu	Megadosage	fu	Gigadrill	2
4059	su	Omnisscythe	ay	Bloo	1
4250	su	Omnisscythe	ay	Bloo	1
4557	fu	Gigadrill	so	Mastah_CJ	1
4729	fu	Gigadrill	ko	Mastah_CJ	1
5377	su	Skylight	co	Bykaf	1
5526	su	Skylight	co	Bykaf	2
5716	su	Skylight	co	Bykaf	2
6100	ko	Mastrcheap	fu	Megadosage	2
6235	ko	Mastrcheap	fu	Megadosage	2
6598	su	Deadbush	ay	Bweans	1
